,state_code_year,month,WET_DRY_SPELL,PRECIPITATION,TEMPERATURE,CLIMAT,STATE_YEAR_MONTH
11977,ID-1993,11,-1.12,0.97,26.6,steppe,ID-1993-11
13153,ID-1993,12,-1.74,1.83,25.1,steppe,ID-1993-12
218,ID-1994,1,-2.43,1.89,28.7,steppe,ID-1994-1
1394,ID-1994,2,-2.12,2.57,25.2,steppe,ID-1994-2
2570,ID-1994,3,-3.15,0.87,37.4,steppe,ID-1994-3
3746,ID-1994,4,-2.99,1.98,43.9,steppe,ID-1994-4
4922,ID-1994,5,-2.91,2.02,52.7,steppe,ID-1994-5
6098,ID-1994,6,-3.09,1.12,58.4,steppe,ID-1994-6
7274,ID-1994,7,-3.38,0.53,67.2,steppe,ID-1994-7
8450,ID-1994,8,-3.79,0.37,67.0,steppe,ID-1994-8
9626,ID-1994,9,-4.03,0.61,58.9,steppe,ID-1994-9
10802,ID-1994,10,0.4,2.35,42.8,steppe,ID-1994-10
11978,ID-1994,11,0.8,3.41,25.2,steppe,ID-1994-11
13154,ID-1994,12,0.76,2.67,24.5,steppe,ID-1994-12
219,ID-1995,1,1.2,3.55,26.6,steppe,ID-1995-1
1395,ID-1995,2,0.62,1.75,33.3,steppe,ID-1995-2
2571,ID-1995,3,1.63,4.07,33.8,steppe,ID-1995-3
3747,ID-1995,4,1.83,2.39,39.8,steppe,ID-1995-4
4923,ID-1995,5,2.28,2.98,48.3,steppe,ID-1995-5
6099,ID-1995,6,3.04,3.19,54.4,steppe,ID-1995-6
7275,ID-1995,7,3.73,1.39,63.4,steppe,ID-1995-7
8451,ID-1995,8,4.07,0.87,62.5,steppe,ID-1995-8
9627,ID-1995,9,3.51,0.82,56.8,steppe,ID-1995-9
10803,ID-1995,10,3.48,1.97,41.5,steppe,ID-1995-10
11979,ID-1995,11,3.96,4.2,36.6,steppe,ID-1995-11
13155,ID-1995,12,4.44,3.93,26.8,steppe,ID-1995-12
220,ID-1996,1,4.77,4.07,24.0,steppe,ID-1996-1
1396,ID-1996,2,4.77,3.17,27.0,steppe,ID-1996-2
2572,ID-1996,3,4.0,2.07,34.8,steppe,ID-1996-3
3748,ID-1996,4,4.27,3.09,41.4,steppe,ID-1996-4
4924,ID-1996,5,5.06,3.75,46.5,steppe,ID-1996-5
6100,ID-1996,6,3.9,0.76,58.3,steppe,ID-1996-6
7276,ID-1996,7,3.1,0.48,67.0,steppe,ID-1996-7
8452,ID-1996,8,2.14,0.34,64.5,steppe,ID-1996-8
9628,ID-1996,9,1.77,0.97,52.5,steppe,ID-1996-9
10804,ID-1996,10,1.73,1.95,43.4,steppe,ID-1996-10
11980,ID-1996,11,2.01,3.71,33.4,steppe,ID-1996-11
13156,ID-1996,12,4.14,7.74,25.3,steppe,ID-1996-12
221,ID-1997,1,4.69,4.44,24.1,steppe,ID-1997-1
1397,ID-1997,2,3.73,1.59,26.8,steppe,ID-1997-2
2573,ID-1997,3,3.45,2.64,34.6,steppe,ID-1997-3
3749,ID-1997,4,3.73,2.68,38.5,steppe,ID-1997-4
4925,ID-1997,5,2.93,1.67,52.3,steppe,ID-1997-5
6101,ID-1997,6,2.75,2.13,57.2,steppe,ID-1997-6
7277,ID-1997,7,3.11,1.79,62.9,steppe,ID-1997-7
8453,ID-1997,8,3.22,1.12,65.0,steppe,ID-1997-8
9629,ID-1997,9,3.19,1.7,57.4,steppe,ID-1997-9
10805,ID-1997,10,3.29,2.29,42.8,steppe,ID-1997-10
11981,ID-1997,11,2.6,1.74,33.8,steppe,ID-1997-11
13157,ID-1997,12,1.61,1.49,23.4,steppe,ID-1997-12
222,ID-1998,1,1.83,4.09,27.9,steppe,ID-1998-1
1398,ID-1998,2,1.4,1.98,29.4,steppe,ID-1998-2
2574,ID-1998,3,1.11,2.17,34.0,steppe,ID-1998-3
3750,ID-1998,4,0.89,1.79,41.3,steppe,ID-1998-4
4926,ID-1998,5,2.41,4.63,49.0,steppe,ID-1998-5
6102,ID-1998,6,2.93,2.77,53.6,steppe,ID-1998-6
7278,ID-1998,7,3.48,1.18,69.1,steppe,ID-1998-7
8454,ID-1998,8,3.02,0.37,67.0,steppe,ID-1998-8
9630,ID-1998,9,2.96,1.84,60.4,steppe,ID-1998-9
10806,ID-1998,10,2.18,0.86,43.3,steppe,ID-1998-10
11982,ID-1998,11,2.42,3.96,34.3,steppe,ID-1998-11
13158,ID-1998,12,2.43,3.31,22.6,steppe,ID-1998-12
223,ID-1999,1,2.59,3.33,27.1,steppe,ID-1999-1
1399,ID-1999,2,3.62,4.49,27.0,steppe,ID-1999-2
2575,ID-1999,3,-0.49,1.61,33.8,steppe,ID-1999-3
3751,ID-1999,4,-0.49,1.58,38.7,steppe,ID-1999-4
4927,ID-1999,5,0.28,2.21,46.6,steppe,ID-1999-5
6103,ID-1999,6,0.37,1.83,55.6,steppe,ID-1999-6
7279,ID-1999,7,0.31,0.26,63.7,steppe,ID-1999-7
8455,ID-1999,8,0.39,1.06,65.4,steppe,ID-1999-8
9631,ID-1999,9,-0.65,0.21,54.2,steppe,ID-1999-9
10807,ID-1999,10,-1.04,1.17,46.2,steppe,ID-1999-10
11983,ID-1999,11,-1.66,2.2,38.8,steppe,ID-1999-11
13159,ID-1999,12,-2.0,2.69,25.9,steppe,ID-1999-12
224,ID-2000,1,-1.86,3.41,25.7,steppe,ID-2000-1
1400,ID-2000,2,-1.26,3.05,32.0,steppe,ID-2000-2
2576,ID-2000,3,-1.48,1.92,34.5,steppe,ID-2000-3
3752,ID-2000,4,-1.88,1.5,45.3,steppe,ID-2000-4
4928,ID-2000,5,-1.77,2.05,50.3,steppe,ID-2000-5
6104,ID-2000,6,-2.23,0.86,58.6,steppe,ID-2000-6
7280,ID-2000,7,-2.77,0.35,66.5,steppe,ID-2000-7
8456,ID-2000,8,-3.3,0.31,66.3,steppe,ID-2000-8
9632,ID-2000,9,-2.73,1.65,54.0,steppe,ID-2000-9
10808,ID-2000,10,-1.86,2.77,44.1,steppe,ID-2000-10
11984,ID-2000,11,-2.23,1.34,25.7,steppe,ID-2000-11
13160,ID-2000,12,-2.77,1.68,24.2,steppe,ID-2000-12
225,ID-2001,1,-3.62,1.37,23.0,steppe,ID-2001-1
1401,ID-2001,2,-4.15,1.18,25.1,steppe,ID-2001-2
2577,ID-2001,3,-4.45,1.58,36.6,steppe,ID-2001-3
3753,ID-2001,4,-3.69,2.33,40.1,steppe,ID-2001-4
4929,ID-2001,5,-4.14,1.02,52.6,steppe,ID-2001-5
6105,ID-2001,6,-4.15,1.4,57.4,steppe,ID-2001-6
7281,ID-2001,7,-3.97,1.12,65.6,steppe,ID-2001-7
8457,ID-2001,8,-4.36,0.17,68.2,steppe,ID-2001-8
9633,ID-2001,9,-4.47,0.73,59.4,steppe,ID-2001-9
10809,ID-2001,10,-3.79,2.22,44.6,steppe,ID-2001-10
11985,ID-2001,11,-3.71,2.51,36.2,steppe,ID-2001-11
13161,ID-2001,12,-3.25,3.5,22.1,steppe,ID-2001-12
226,ID-2002,1,-2.75,2.97,23.2,steppe,ID-2002-1
1402,ID-2002,2,-3.1,1.33,23.9,steppe,ID-2002-2
2578,ID-2002,3,-2.62,2.39,30.1,steppe,ID-2002-3
3754,ID-2002,4,-2.35,1.98,41.5,steppe,ID-2002-4
4930,ID-2002,5,-2.39,1.53,48.7,steppe,ID-2002-5
6106,ID-2002,6,-2.46,1.42,58.8,steppe,ID-2002-6
7282,ID-2002,7,-2.76,0.51,69.0,steppe,ID-2002-7
8458,ID-2002,8,-2.99,0.51,61.8,steppe,ID-2002-8
9634,ID-2002,9,-2.91,1.03,55.9,steppe,ID-2002-9
10810,ID-2002,10,-3.14,0.63,41.0,steppe,ID-2002-10
11986,ID-2002,11,-3.61,1.6,32.8,steppe,ID-2002-11
13162,ID-2002,12,-3.63,3.08,28.8,steppe,ID-2002-12
227,ID-2003,1,-3.4,3.19,31.4,steppe,ID-2003-1
1403,ID-2003,2,-3.27,2.01,27.1,steppe,ID-2003-2
2579,ID-2003,3,-2.54,3.31,36.3,steppe,ID-2003-3
3755,ID-2003,4,-1.89,2.54,40.8,steppe,ID-2003-4
4931,ID-2003,5,-1.74,2.02,49.9,steppe,ID-2003-5
6107,ID-2003,6,-2.34,0.64,59.1,steppe,ID-2003-6
7283,ID-2003,7,-3.02,0.3,70.4,steppe,ID-2003-7
8459,ID-2003,8,-3.19,0.96,67.7,steppe,ID-2003-8
9635,ID-2003,9,-3.36,0.72,56.7,steppe,ID-2003-9
10811,ID-2003,10,-3.85,0.8,48.7,steppe,ID-2003-10
11987,ID-2003,11,-3.8,2.45,28.2,steppe,ID-2003-11
13163,ID-2003,12,-3.39,3.62,28.1,steppe,ID-2003-12
228,ID-2004,1,-3.03,2.9,22.8,steppe,ID-2004-1
1404,ID-2004,2,-2.82,2.19,26.3,steppe,ID-2004-2
2580,ID-2004,3,-3.77,1.1,39.3,steppe,ID-2004-3
3756,ID-2004,4,-3.96,1.37,44.6,steppe,ID-2004-4
4932,ID-2004,5,0.89,3.5,48.9,steppe,ID-2004-5
6108,ID-2004,6,0.56,1.43,58.4,steppe,ID-2004-6
7284,ID-2004,7,0.63,0.91,66.3,steppe,ID-2004-7
8460,ID-2004,8,1.33,1.9,63.7,steppe,ID-2004-8
9636,ID-2004,9,1.49,1.55,53.7,steppe,ID-2004-9
10812,ID-2004,10,1.74,2.41,44.6,steppe,ID-2004-10
11988,ID-2004,11,-0.5,1.38,32.7,steppe,ID-2004-11
13164,ID-2004,12,-0.77,2.54,28.5,steppe,ID-2004-12
229,ID-2005,1,-1.32,1.81,26.5,steppe,ID-2005-1
1405,ID-2005,2,-2.2,0.71,28.5,steppe,ID-2005-2
2581,ID-2005,3,-2.1,2.44,35.9,steppe,ID-2005-3
3757,ID-2005,4,0.13,2.22,41.7,steppe,ID-2005-4
4933,ID-2005,5,1.35,4.11,49.9,steppe,ID-2005-5
6109,ID-2005,6,1.76,2.44,54.3,steppe,ID-2005-6
7285,ID-2005,7,1.83,0.35,66.8,steppe,ID-2005-7
8461,ID-2005,8,1.34,0.47,64.8,steppe,ID-2005-8
9637,ID-2005,9,1.01,0.93,54.1,steppe,ID-2005-9
10813,ID-2005,10,0.89,1.84,45.5,steppe,ID-2005-10
11989,ID-2005,11,0.87,2.88,32.0,steppe,ID-2005-11
13165,ID-2005,12,1.4,4.38,23.0,steppe,ID-2005-12
230,ID-2006,1,2.37,4.71,27.9,steppe,ID-2006-1
1406,ID-2006,2,1.78,1.79,24.4,steppe,ID-2006-2
2582,ID-2006,3,1.91,2.69,32.4,steppe,ID-2006-3
3758,ID-2006,4,2.28,3.07,42.8,steppe,ID-2006-4
4934,ID-2006,5,-0.41,1.63,51.8,steppe,ID-2006-5
6110,ID-2006,6,-0.62,1.74,60.6,steppe,ID-2006-6
7286,ID-2006,7,-1.23,0.46,70.1,steppe,ID-2006-7
8462,ID-2006,8,-1.82,0.4,63.7,steppe,ID-2006-8
9638,ID-2006,9,-1.7,1.25,55.1,steppe,ID-2006-9
10814,ID-2006,10,-1.6,1.58,43.0,steppe,ID-2006-10
11990,ID-2006,11,-0.73,4.34,33.1,steppe,ID-2006-11
13166,ID-2006,12,-0.57,2.72,25.3,steppe,ID-2006-12
231,ID-2007,1,-1.12,1.36,20.7,steppe,ID-2007-1
1407,ID-2007,2,-0.95,2.45,30.8,steppe,ID-2007-2
2583,ID-2007,3,-1.84,1.45,38.9,steppe,ID-2007-3
3759,ID-2007,4,-1.99,1.59,43.0,steppe,ID-2007-4
4935,ID-2007,5,-2.54,1.09,52.0,steppe,ID-2007-5
6111,ID-2007,6,-2.89,1.23,59.6,steppe,ID-2007-6
7287,ID-2007,7,-3.65,0.38,72.0,steppe,ID-2007-7
8463,ID-2007,8,-4.07,0.51,65.4,steppe,ID-2007-8
9639,ID-2007,9,-3.74,1.26,54.9,steppe,ID-2007-9
10815,ID-2007,10,-2.84,2.58,43.1,steppe,ID-2007-10
11991,ID-2007,11,-2.87,2.04,33.5,steppe,ID-2007-11
13167,ID-2007,12,-2.39,3.62,23.4,steppe,ID-2007-12
232,ID-2008,1,-1.64,3.53,19.9,steppe,ID-2008-1
1408,ID-2008,2,-1.55,2.23,27.6,steppe,ID-2008-2
2584,ID-2008,3,-1.3,2.28,30.3,steppe,ID-2008-3
3760,ID-2008,4,-1.28,1.2,36.3,steppe,ID-2008-4
4936,ID-2008,5,-1.25,1.82,48.9,steppe,ID-2008-5
6112,ID-2008,6,-1.32,1.43,56.3,steppe,ID-2008-6
7288,ID-2008,7,-1.6,0.31,66.5,steppe,ID-2008-7
8464,ID-2008,8,-1.71,0.82,64.8,steppe,ID-2008-8
9640,ID-2008,9,-1.9,0.77,55.5,steppe,ID-2008-9
10816,ID-2008,10,-2.17,1.04,44.5,steppe,ID-2008-10
11992,ID-2008,11,-2.31,2.8,37.1,steppe,ID-2008-11
13168,ID-2008,12,-1.98,3.74,22.6,steppe,ID-2008-12
233,ID-2009,1,-1.8,2.72,25.0,steppe,ID-2009-1
1409,ID-2009,2,-2.17,1.46,27.6,steppe,ID-2009-2
2585,ID-2009,3,0.65,3.17,31.4,steppe,ID-2009-3
3761,ID-2009,4,0.56,1.84,40.7,steppe,ID-2009-4
4937,ID-2009,5,0.4,2.03,50.8,steppe,ID-2009-5
6113,ID-2009,6,1.41,3.51,56.3,steppe,ID-2009-6
7289,ID-2009,7,1.77,0.71,65.8,steppe,ID-2009-7
8465,ID-2009,8,2.22,1.45,63.8,steppe,ID-2009-8
9641,ID-2009,9,-0.66,0.35,60.1,steppe,ID-2009-9
10817,ID-2009,10,0.69,2.47,39.5,steppe,ID-2009-10
11993,ID-2009,11,-0.46,1.33,33.0,steppe,ID-2009-11
13169,ID-2009,12,-0.99,1.84,19.8,steppe,ID-2009-12
234,ID-2010,1,-1.24,2.54,28.2,steppe,ID-2010-1
1410,ID-2010,2,-1.91,1.06,28.9,steppe,ID-2010-2
2586,ID-2010,3,-2.16,1.86,35.2,steppe,ID-2010-3
3762,ID-2010,4,0.5,2.64,40.0,steppe,ID-2010-4
4938,ID-2010,5,1.23,2.77,44.1,steppe,ID-2010-5
6114,ID-2010,6,2.08,3.24,55.5,steppe,ID-2010-6
7290,ID-2010,7,2.28,0.52,64.2,steppe,ID-2010-7
8466,ID-2010,8,2.41,0.83,62.8,steppe,ID-2010-8
9642,ID-2010,9,2.02,0.94,56.4,steppe,ID-2010-9
10818,ID-2010,10,2.12,2.49,47.5,steppe,ID-2010-10
11994,ID-2010,11,2.26,3.03,30.5,steppe,ID-2010-11
13170,ID-2010,12,2.81,4.22,26.6,steppe,ID-2010-12
235,ID-2011,1,2.65,2.79,24.0,steppe,ID-2011-1
1411,ID-2011,2,2.11,1.93,24.3,steppe,ID-2011-2
2587,ID-2011,3,2.88,3.88,33.4,steppe,ID-2011-3
3763,ID-2011,4,3.66,3.18,36.4,steppe,ID-2011-4
4939,ID-2011,5,4.19,3.15,45.8,steppe,ID-2011-5
6115,ID-2011,6,4.02,1.96,54.0,steppe,ID-2011-6
7291,ID-2011,7,3.89,0.55,64.3,steppe,ID-2011-7
8467,ID-2011,8,-0.2,0.51,66.1,steppe,ID-2011-8
9643,ID-2011,9,-0.89,0.39,59.6,steppe,ID-2011-9
10819,ID-2011,10,-0.23,2.83,45.4,steppe,ID-2011-10
11995,ID-2011,11,-0.4,1.99,30.5,steppe,ID-2011-11
13171,ID-2011,12,-1.04,1.53,24.8,steppe,ID-2011-12
236,ID-2012,1,-0.91,3.33,26.8,steppe,ID-2012-1
1412,ID-2012,2,-1.17,1.78,28.0,steppe,ID-2012-2
2588,ID-2012,3,-0.06,4.25,36.4,steppe,ID-2012-3
3764,ID-2012,4,-0.17,2.12,44.4,steppe,ID-2012-4
4940,ID-2012,5,-0.22,1.91,49.0,steppe,ID-2012-5
6116,ID-2012,6,-0.3,1.6,56.9,steppe,ID-2012-6
7292,ID-2012,7,-0.25,0.93,68.5,steppe,ID-2012-7
8468,ID-2012,8,-0.86,0.28,67.3,steppe,ID-2012-8
9644,ID-2012,9,-1.55,0.32,58.4,steppe,ID-2012-9
10820,ID-2012,10,0.34,2.32,43.7,steppe,ID-2012-10
11996,ID-2012,11,0.18,2.75,36.0,steppe,ID-2012-11
13172,ID-2012,12,0.63,4.12,25.8,steppe,ID-2012-12
237,ID-2013,1,-0.33,1.9,20.2,steppe,ID-2013-1
1413,ID-2013,2,-1.09,1.07,27.5,steppe,ID-2013-2
2589,ID-2013,3,-1.66,1.47,35.1,steppe,ID-2013-3
3765,ID-2013,4,-1.49,1.81,40.1,steppe,ID-2013-4
4941,ID-2013,5,-1.77,1.51,51.0,steppe,ID-2013-5
6117,ID-2013,6,-2.02,1.35,59.3,steppe,ID-2013-6
7293,ID-2013,7,-2.51,0.53,69.6,steppe,ID-2013-7
8469,ID-2013,8,-2.84,0.71,67.6,steppe,ID-2013-8
9645,ID-2013,9,-1.56,2.96,57.1,steppe,ID-2013-9
10821,ID-2013,10,-1.85,0.85,42.1,steppe,ID-2013-10
11997,ID-2013,11,-2.44,1.72,33.8,steppe,ID-2013-11
13173,ID-2013,12,-3.17,1.76,21.1,steppe,ID-2013-12
238,ID-2014,1,-3.91,2.02,27.7,steppe,ID-2014-1
1414,ID-2014,2,-3.0,3.68,28.0,steppe,ID-2014-2
2590,ID-2014,3,-1.9,3.92,36.2,steppe,ID-2014-3
3766,ID-2014,4,-1.61,2.15,41.6,steppe,ID-2014-4
4942,ID-2014,5,-2.07,1.26,51.6,steppe,ID-2014-5
6118,ID-2014,6,-2.25,1.32,56.7,steppe,ID-2014-6
7294,ID-2014,7,-2.76,0.39,69.3,steppe,ID-2014-7
8470,ID-2014,8,-1.76,2.29,63.8,steppe,ID-2014-8
9646,ID-2014,9,-1.51,1.53,57.6,steppe,ID-2014-9
10822,ID-2014,10,-1.87,1.29,48.5,steppe,ID-2014-10
11998,ID-2014,11,-1.49,3.32,31.1,steppe,ID-2014-11
13174,ID-2014,12,-1.22,3.3,29.1,steppe,ID-2014-12
239,ID-2015,1,-1.34,2.06,28.7,steppe,ID-2015-1
1415,ID-2015,2,-1.71,1.86,35.2,steppe,ID-2015-2
2591,ID-2015,3,-2.62,1.51,40.8,steppe,ID-2015-3
3767,ID-2015,4,-2.86,1.23,42.3,steppe,ID-2015-4
4943,ID-2015,5,-2.21,2.89,51.8,steppe,ID-2015-5
6119,ID-2015,6,-2.88,0.77,64.7,steppe,ID-2015-6
7295,ID-2015,7,-2.7,1.37,65.1,steppe,ID-2015-7
8471,ID-2015,8,-2.68,0.76,65.8,steppe,ID-2015-8
9647,ID-2015,9,-2.46,1.31,57.2,steppe,ID-2015-9
10823,ID-2015,10,-2.59,1.69,50.7,steppe,ID-2015-10
11999,ID-2015,11,-2.56,2.51,29.9,steppe,ID-2015-11
13175,ID-2015,12,-1.77,4.56,24.3,steppe,ID-2015-12
240,IL-1992,1,-0.75,1.18,31.0,continental humide ete sec,IL-1992-1
1416,IL-1992,2,-0.9,1.46,37.2,continental humide ete sec,IL-1992-2
2592,IL-1992,3,-1.13,2.54,42.7,continental humide ete sec,IL-1992-3
3768,IL-1992,4,-1.27,2.93,51.0,continental humide ete sec,IL-1992-4
4944,IL-1992,5,-2.1,1.28,61.2,continental humide ete sec,IL-1992-5
6120,IL-1992,6,-2.75,1.72,68.8,continental humide ete sec,IL-1992-6
7296,IL-1992,7,1.5,7.61,73.2,continental humide ete sec,IL-1992-7
8472,IL-1992,8,0.99,1.9,68.4,continental humide ete sec,IL-1992-8
9648,IL-1992,9,1.54,4.69,64.3,continental humide ete sec,IL-1992-9
10824,IL-1992,10,1.0,1.31,53.5,continental humide ete sec,IL-1992-10
12000,IL-1992,11,2.37,6.51,40.6,continental humide ete sec,IL-1992-11
13176,IL-1992,12,2.5,2.68,30.7,continental humide ete sec,IL-1992-12
241,IL-1993,1,3.07,3.67,27.8,continental humide ete sec,IL-1993-1
1417,IL-1993,2,2.8,1.78,27.0,continental humide ete sec,IL-1993-2
2593,IL-1993,3,2.64,3.05,36.8,continental humide ete sec,IL-1993-3
3769,IL-1993,4,3.06,5.13,49.2,continental humide ete sec,IL-1993-4
4945,IL-1993,5,2.42,3.29,63.2,continental humide ete sec,IL-1993-5
6121,IL-1993,6,3.33,6.85,70.5,continental humide ete sec,IL-1993-6
7297,IL-1993,7,4.23,6.61,76.6,continental humide ete sec,IL-1993-7
8473,IL-1993,8,4.69,5.05,74.9,continental humide ete sec,IL-1993-8
9649,IL-1993,9,6.37,7.54,61.6,continental humide ete sec,IL-1993-9
10825,IL-1993,10,6.06,2.46,51.8,continental humide ete sec,IL-1993-10
12001,IL-1993,11,6.55,4.22,39.6,continental humide ete sec,IL-1993-11
13177,IL-1993,12,-0.08,1.53,31.4,continental humide ete sec,IL-1993-12
242,IL-1994,1,0.06,1.87,19.9,continental humide ete sec,IL-1994-1
1418,IL-1994,2,0.06,1.7,27.1,continental humide ete sec,IL-1994-2
2594,IL-1994,3,-0.81,1.31,41.1,continental humide ete sec,IL-1994-3
3770,IL-1994,4,0.91,6.14,53.2,continental humide ete sec,IL-1994-4
4946,IL-1994,5,-0.62,2.15,60.6,continental humide ete sec,IL-1994-5
6122,IL-1994,6,-0.65,4.16,73.8,continental humide ete sec,IL-1994-6
7298,IL-1994,7,-0.93,2.73,73.8,continental humide ete sec,IL-1994-7
8474,IL-1994,8,-0.73,3.58,70.6,continental humide ete sec,IL-1994-8
9650,IL-1994,9,-1.03,2.38,65.3,continental humide ete sec,IL-1994-9
10826,IL-1994,10,-1.39,2.03,56.4,continental humide ete sec,IL-1994-10
12002,IL-1994,11,0.58,5.54,46.2,continental humide ete sec,IL-1994-11
13178,IL-1994,12,0.38,1.92,35.9,continental humide ete sec,IL-1994-12
243,IL-1995,1,0.96,3.17,25.8,continental humide ete sec,IL-1995-1
1419,IL-1995,2,0.53,1.0,29.8,continental humide ete sec,IL-1995-2
2595,IL-1995,3,0.09,2.46,43.3,continental humide ete sec,IL-1995-3
3771,IL-1995,4,0.48,4.47,50.1,continental humide ete sec,IL-1995-4
4947,IL-1995,5,2.29,8.89,60.1,continental humide ete sec,IL-1995-5
6123,IL-1995,6,-0.21,3.53,72.3,continental humide ete sec,IL-1995-6
7299,IL-1995,7,-0.5,2.97,76.4,continental humide ete sec,IL-1995-7
8475,IL-1995,8,-0.47,4.18,78.8,continental humide ete sec,IL-1995-8
9651,IL-1995,9,-1.16,1.28,63.3,continental humide ete sec,IL-1995-9
10827,IL-1995,10,-1.11,3.02,55.4,continental humide ete sec,IL-1995-10
12003,IL-1995,11,-1.22,2.53,35.6,continental humide ete sec,IL-1995-11
13179,IL-1995,12,-1.63,1.41,28.2,continental humide ete sec,IL-1995-12
244,IL-1996,1,-1.37,2.32,24.4,continental humide ete sec,IL-1996-1
1420,IL-1996,2,-1.67,0.8,30.4,continental humide ete sec,IL-1996-2
2596,IL-1996,3,-1.74,2.09,34.5,continental humide ete sec,IL-1996-3
3772,IL-1996,4,0.69,5.03,48.6,continental humide ete sec,IL-1996-4
4948,IL-1996,5,1.98,7.74,61.6,continental humide ete sec,IL-1996-5
6124,IL-1996,6,1.89,4.24,71.5,continental humide ete sec,IL-1996-6
7300,IL-1996,7,2.17,4.35,72.6,continental humide ete sec,IL-1996-7
8476,IL-1996,8,1.48,2.02,73.5,continental humide ete sec,IL-1996-8
9652,IL-1996,9,1.28,2.94,64.2,continental humide ete sec,IL-1996-9
10828,IL-1996,10,0.98,2.4,54.8,continental humide ete sec,IL-1996-10
12004,IL-1996,11,1.08,3.19,34.9,continental humide ete sec,IL-1996-11
13180,IL-1996,12,0.81,1.7,30.5,continental humide ete sec,IL-1996-12
245,IL-1997,1,1.05,2.49,21.4,continental humide ete sec,IL-1997-1
1421,IL-1997,2,2.01,3.9,33.6,continental humide ete sec,IL-1997-2
2597,IL-1997,3,-0.13,3.0,42.9,continental humide ete sec,IL-1997-3
3773,IL-1997,4,-0.48,2.26,47.6,continental humide ete sec,IL-1997-4
4949,IL-1997,5,-0.22,4.03,57.6,continental humide ete sec,IL-1997-5
6125,IL-1997,6,-0.23,3.76,70.6,continental humide ete sec,IL-1997-6
7301,IL-1997,7,-0.73,2.21,75.1,continental humide ete sec,IL-1997-7
8477,IL-1997,8,-0.05,4.76,71.0,continental humide ete sec,IL-1997-8
9653,IL-1997,9,-0.4,2.38,66.3,continental humide ete sec,IL-1997-9
10829,IL-1997,10,-0.75,1.94,54.9,continental humide ete sec,IL-1997-10
12005,IL-1997,11,-0.97,2.46,38.6,continental humide ete sec,IL-1997-11
13181,IL-1997,12,-1.23,1.91,32.0,continental humide ete sec,IL-1997-12
246,IL-1998,1,0.31,2.74,31.8,continental humide ete sec,IL-1998-1
1422,IL-1998,2,0.5,2.53,40.0,continental humide ete sec,IL-1998-2
2598,IL-1998,3,1.12,4.58,40.6,continental humide ete sec,IL-1998-3
3774,IL-1998,4,1.46,4.93,52.6,continental humide ete sec,IL-1998-4
4950,IL-1998,5,1.31,4.78,67.4,continental humide ete sec,IL-1998-5
6126,IL-1998,6,2.6,7.64,71.8,continental humide ete sec,IL-1998-6
7302,IL-1998,7,2.34,3.47,75.4,continental humide ete sec,IL-1998-7
8478,IL-1998,8,2.09,3.3,74.8,continental humide ete sec,IL-1998-8
9654,IL-1998,9,1.32,2.28,70.9,continental humide ete sec,IL-1998-9
10830,IL-1998,10,1.63,4.23,56.6,continental humide ete sec,IL-1998-10
12006,IL-1998,11,1.28,2.45,45.6,continental humide ete sec,IL-1998-11
13182,IL-1998,12,0.84,1.56,35.1,continental humide ete sec,IL-1998-12
247,IL-1999,1,1.81,4.21,25.1,continental humide ete sec,IL-1999-1
1423,IL-1999,2,1.87,2.42,37.4,continental humide ete sec,IL-1999-2
2599,IL-1999,3,1.16,1.72,38.3,continental humide ete sec,IL-1999-3
3775,IL-1999,4,1.66,5.53,54.3,continental humide ete sec,IL-1999-4
4951,IL-1999,5,1.25,3.68,64.1,continental humide ete sec,IL-1999-5
6127,IL-1999,6,1.6,5.28,72.2,continental humide ete sec,IL-1999-6
7303,IL-1999,7,-0.35,2.93,78.6,continental humide ete sec,IL-1999-7
8479,IL-1999,8,-0.51,2.79,71.7,continental humide ete sec,IL-1999-8
9655,IL-1999,9,-0.88,2.18,65.2,continental humide ete sec,IL-1999-9
10831,IL-1999,10,-1.29,1.69,54.5,continental humide ete sec,IL-1999-10
12007,IL-1999,11,-2.56,0.53,48.4,continental humide ete sec,IL-1999-11
13183,IL-1999,12,-2.77,2.75,32.6,continental humide ete sec,IL-1999-12
248,IL-2000,1,-2.94,1.53,27.3,continental humide ete sec,IL-2000-1
1424,IL-2000,2,-2.6,2.53,37.4,continental humide ete sec,IL-2000-2
2600,IL-2000,3,-3.04,2.03,46.2,continental humide ete sec,IL-2000-3
3776,IL-2000,4,-2.98,2.99,51.5,continental humide ete sec,IL-2000-4
4952,IL-2000,5,-0.02,4.4,65.1,continental humide ete sec,IL-2000-5
6128,IL-2000,6,1.38,7.34,70.3,continental humide ete sec,IL-2000-6
7304,IL-2000,7,1.71,4.36,73.2,continental humide ete sec,IL-2000-7
8480,IL-2000,8,1.75,3.56,74.6,continental humide ete sec,IL-2000-8
9656,IL-2000,9,1.91,3.81,66.3,continental humide ete sec,IL-2000-9
10832,IL-2000,10,1.48,2.1,58.0,continental humide ete sec,IL-2000-10
12008,IL-2000,11,1.66,3.18,38.9,continental humide ete sec,IL-2000-11
13184,IL-2000,12,1.57,1.94,17.6,continental humide ete sec,IL-2000-12
249,IL-2001,1,1.41,1.72,25.7,continental humide ete sec,IL-2001-1
1425,IL-2001,2,2.0,3.19,30.9,continental humide ete sec,IL-2001-2
2601,IL-2001,3,-0.7,1.22,37.1,continental humide ete sec,IL-2001-3
